label,text
1,Ürün çok kaliteli ve hızlı geldi
1,Kamera harika fotoğraflar çekiyor
1,Müşteri hizmetleri sorunu hemen çözdü
1,Paketleme özenli ve teslimat hızlıydı
1,Fiyatına göre performansı çok iyi
1,Uygulama kolay ve kullanışlı çalışıyor
1,Kargo zamanında geldi ve ürün sağlamdı
1,Tasarımı şık kullanımı rahat
1,Satıcı çok ilgili ve yardımcıydı
1,Beklentimin üzerinde bir ürün çıktı
0,Ürün kötü ve iki gün sonra bozuldu
0,Kargo çok geç geldi ve kutu hasarlıydı
0,Kamera bulanık fotoğraf çekiyor
0,Müşteri hizmetleri cevap vermedi
0,Fiyatı yüksek ama kalitesi düşük
0,Uygulama sürekli hata veriyor ve yavaş
0,Ürün açıklamadaki özellikleri taşımıyor
0,Paket eksik geldi ve iade süreci uzadı
0,Şarjı çok hızlı bitiyor
0,Satıcı sorunu çözmek için geri dönmedi
